"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"      Benin","0.487 ","5.828 ","10.477 ","26.752 ","8.334 ","7.004 ","6.382 ","20.050 ","13.312 ","20.664 ","21.453 ","20.386 ","31.523 ","30.958 ","30.580 ","47.150 ","26.318 ","24.530 ","24.009 ","36.999 ","50.060 ","22.794 ","health"
"      Botswana","16.457 ","0.166 ","0.062 ","0.255 ","0.157 ","0.087 ","0.769 ","0.308 ","2.817 ","8.456 ","0.434 ","0.374 ","2.218 ","1.972 ","3.221 ","3.247 ","5.477 ","1.867 ","4.198 ","6.363 ","3.493 ","8.523 ","health"
"      Burkina Faso","7.726 ","1.076 ","11.826 ","5.457 ","8.456 ","8.729 ","20.602 ","15.576 ","19.289 ","33.218 ","25.006 ","19.409 ","14.620 ","22.664 ","60.127 ","30.405 ","22.908 ","38.813 ","17.191 ","31.425 ","36.692 ","46.551 ","health"
"      Burundi","2.534 ","0.566 ","3.302 ","2.598 ","1.076 ","3.448 ","3.026 ","4.808 ","2.032 ","2.258 ","1.351 ","10.819 ","23.281 ","13.879 ","18.033 ","42.354 ","20.720 ","14.765 ","24.619 ","22.057 ","22.491 ","47.864 ","health"
"      Cabo Verde","0.263 ",,"4.562 ","0.694 ","1.805 ","1.465 ","9.699 ","2.045 ","5.451 ","3.796 ","6.421 ","8.856 ","6.364 ","3.510 ","3.402 ","5.796 ","10.014 ","11.369 ","13.349 ","10.764 ","9.719 ","3.548 ","health"
"      Cameroon","1.643 ","17.468 ","9.077 ","10.333 ","12.272 ","6.625 ","6.882 ","14.359 ","15.742 ","17.523 ","9.465 ","17.050 ","4.854 ","13.557 ","55.671 ","10.730 ","19.413 ","12.462 ","79.108 ","12.330 ","34.380 ","43.063 ","health"
"      Central African Republic","1.243 ","0.218 ","2.832 ","21.925 ","2.956 ","1.656 ","7.015 ","1.919 ","1.832 ","2.667 ","2.257 ","8.358 ","1.323 ","0.639 ","3.079 ","3.180 ","1.396 ","2.326 ","2.705 ","10.260 ","5.388 ","8.930 ","health"
"      Chad","3.964 ","4.594 ","5.201 ","8.128 ","13.325 ","15.896 ","5.054 ","13.792 ","6.756 ","8.905 ","5.423 ","7.419 ","6.316 ","16.551 ","4.842 ","7.528 ","4.264 ","11.275 ","19.465 ","21.706 ","13.426 ","7.084 ","health"
"      Comoros","1.645 ",,"4.076 ","1.518 ","1.454 ","1.147 ","1.133 ","1.849 ","0.752 ","0.868 ",,,"12.043 ","0.028 ","0.408 ","1.687 ","0.604 ","0.425 ","0.363 ","0.236 ","0.229 ","7.881 ","health"
"      Congo","2.359 ","0.165 ","2.817 ","2.775 ","1.181 ","1.204 ","0.605 ","1.282 ","0.781 ","2.537 ","1.915 ","0.520 ","3.287 ","1.066 ","1.020 ","9.779 ","1.891 ","12.005 ","0.548 ","0.389 ","0.785 ","0.117 ","health"
"      Côte d'Ivoire","26.650 ","14.665 ","11.853 ","31.294 ","8.333 ","3.374 ","6.865 ","5.398 ","16.276 ","11.808 ","4.820 ","24.779 ","9.217 ","9.716 ","11.461 ","8.748 ","6.607 ","10.829 ","8.340 ","11.070 ","137.794 ","31.631 ","health"
"      Democratic Republic of the Congo","3.523 ","7.455 ","15.763 ","20.307 ","17.656 ","23.990 ","32.704 ","52.295 ","32.564 ","50.806 ","45.626 ","70.272 ","68.295 ","90.410 ","120.292 ","119.331 ","131.925 ","135.016 ","144.799 ","110.381 ","113.752 ","132.656 ","health"
"      Djibouti","0.059 ","1.238 ","10.858 ","6.282 ","4.720 ","4.058 ","1.173 ","0.069 ","0.128 ","1.853 ","0.818 ","7.963 ","0.655 ","3.879 ","5.742 ","4.833 ","1.914 ","3.816 ","3.917 ","3.554 ","4.132 ","1.111 ","health"
"      Equatorial Guinea",,"1.532 ","5.160 ","6.595 ","2.243 ","5.312 ","4.294 ","2.542 ","3.089 ","3.507 ","5.012 ","5.331 ","5.130 ","2.069 ","2.156 ","3.029 ","1.525 ","1.630 ","0.094 ","3.159 ","4.462 ","0.189 ","health"
"      Eritrea","12.183 ","2.000 ","1.022 ","6.314 ","14.064 ","20.363 ","2.090 ","9.739 ","7.909 ","6.209 ","0.800 ","1.590 ","5.837 ","1.453 ","3.173 ","3.397 ","2.033 ","0.288 ","1.924 ","1.071 ","0.677 ","0.753 ","health"
"      Ethiopia","38.879 ","57.079 ","24.962 ","32.529 ","25.114 ","22.754 ","22.454 ","68.376 ","69.665 ","34.686 ","50.340 ","89.452 ","84.515 ","72.052 ","135.424 ","92.478 ","116.512 ","120.756 ","129.552 ","128.831 ","198.675 ","128.523 ","health"
"      Gabon","0.017 ",,"3.400 ","4.594 ","2.103 ","2.372 ","3.478 ","7.158 ","2.525 ","2.396 ","0.540 ","4.195 ","9.391 ","1.298 ","3.001 ","1.976 ","1.827 ","1.131 ","2.735 ","2.395 ","2.216 ","57.913 ","health"
"      Gambia","0.129 ","0.206 ","0.261 ","0.616 ","1.636 ","0.905 ","0.542 ","0.153 ","0.316 ","0.391 ","0.145 ","0.182 ","0.092 ","0.405 ","0.149 ","1.748 ","8.180 ","13.438 ","9.096 ","9.390 ","20.425 ","15.990 ","health"
"      Ghana","17.775 ","12.447 ","64.885 ","22.775 ","23.820 ","16.073 ","21.525 ","126.820 ","86.134 ","38.773 ","29.008 ","44.352 ","133.576 ","197.855 ","46.024 ","65.886 ","71.527 ","135.421 ","51.758 ","64.627 ","105.370 ","138.429 ","health"
"      Guinea","9.704 ","0.016 ","4.351 ","7.669 ","2.749 ","13.366 ","6.064 ","5.144 ","5.708 ","13.786 ","4.832 ","2.124 ","5.049 ","1.709 ","3.863 ","4.356 ","9.818 ","11.330 ","13.746 ","49.325 ","44.906 ","52.207 ","health"
"      Guinea-Bissau","14.719 ",,"0.594 ","5.583 ","0.317 ","1.665 ","7.678 ","2.857 ","2.724 ","3.815 ","3.084 ","4.856 ","6.415 ","3.664 ","4.707 ","9.390 ","3.426 ","13.742 ","2.908 ","2.844 ","8.782 ","5.315 ","health"
"      Kenya","73.398 ","32.035 ","13.350 ","36.935 ","22.784 ","35.768 ","93.328 ","20.508 ","18.718 ","55.997 ","52.542 ","83.295 ","62.462 ","72.248 ","67.604 ","138.206 ","184.470 ","73.436 ","103.764 ","94.794 ","203.875 ","127.174 ","health"
"      Lesotho",,,"1.533 ",,"0.104 ","2.116 ","2.691 ","2.240 ","3.333 ","3.848 ","1.565 ","1.834 ","6.733 ","129.700 ","8.614 ","11.872 ","0.791 ","1.697 ","32.709 ","0.604 ","0.759 ","2.360 ","health"
"      Liberia","0.029 ","0.357 ","3.591 ","7.029 ","5.382 ","6.647 ","2.324 ","2.071 ","5.683 ","6.935 ","5.819 ","7.252 ","12.466 ","32.928 ","58.360 ","38.966 ","26.638 ","36.616 ","41.560 ","49.718 ","39.800 ","58.710 ","health"
"      Madagascar","3.388 ","4.435 ","7.375 ","12.483 ","13.839 ","8.545 ","15.194 ","4.591 ","19.197 ","12.463 ","14.991 ","24.019 ","9.034 ","23.528 ","22.416 ","52.448 ","33.528 ","30.185 ","28.566 ","27.457 ","20.699 ","54.255 ","health"
"      Malawi","21.351 ","8.565 ","10.934 ","12.654 ","61.048 ","20.172 ","19.597 ","41.587 ","26.382 ","57.798 ","193.467 ","23.841 ","49.836 ","48.071 ","84.372 ","59.763 ","68.765 ","161.441 ","152.164 ","80.183 ","99.176 ","119.926 ","health"
"      Mali","6.562 ","1.956 ","10.124 ","3.400 ","7.011 ","11.464 ","31.892 ","23.802 ","22.688 ","12.018 ","34.714 ","63.113 ","17.939 ","37.560 ","79.219 ","88.765 ","142.654 ","72.294 ","106.053 ","71.148 ","89.417 ","43.062 ","health"
"      Mauritania",,"3.503 ","4.512 ","4.479 ","10.830 ","3.676 ","2.869 ","1.770 ","2.531 ","2.253 ","0.974 ","1.596 ","3.788 ","4.904 ","4.486 ","4.104 ","4.443 ","2.241 ","9.375 ","6.506 ","3.457 ","14.284 ","health"
"      Mauritius",,"0.657 ","0.260 ","0.136 ","0.175 ","0.148 ","0.196 ",,"0.158 ","0.170 ","0.048 ","0.225 ",,,"0.000 ",,,"0.047 ","0.023 ","0.024 ","0.063 ","0.032 ","health"
"      Mayotte",,,,,,,"25.622 ","22.326 ","13.107 ","19.907 ","0.523 ","0.368 ","5.541 ","11.296 ","6.875 ","4.189 ",,,,,,,"health"
"      Mozambique","27.785 ","63.447 ","60.995 ","27.418 ","64.955 ","116.342 ","62.345 ","79.964 ","85.864 ","75.778 ","107.482 ","131.795 ","116.117 ","162.067 ","179.208 ","110.743 ","181.260 ","244.353 ","109.708 ","130.831 ","123.083 ","118.062 ","health"
