"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"      Jamaica","6.323 ","3.451 ","0.286 ","0.447 ","1.184 ","1.784 ","0.289 ","0.012 ","0.923 ","2.892 ","3.638 ","4.276 ","1.623 ","2.108 ","0.169 ","1.217 ","0.684 ","0.284 ","0.170 ","0.345 ","2.096 ","3.429 ","health"
"      Mexico","0.330 ","8.487 ","1.081 ","0.809 ","3.099 ","6.007 ","9.272 ","15.905 ","10.843 ","8.226 ","7.877 ","10.347 ","4.819 ","3.455 ","3.210 ","4.859 ","3.514 ","3.150 ","1.526 ","2.398 ","2.184 ","2.563 ","health"
"      Montserrat","2.974 ",,,"11.587 ","0.046 ","1.341 ","0.047 ","3.127 ","0.746 ",,"0.451 ",,,"0.605 ","0.048 ",,,,"0.448 ",,"1.308 ",,"health"
"      Netherlands Antilles",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Nicaragua","26.279 ","38.829 ","19.537 ","8.129 ","61.274 ","26.715 ","13.110 ","34.482 ","16.035 ","27.492 ","67.236 ","37.016 ","14.919 ","36.464 ","18.976 ","16.951 ","14.149 ","9.899 ","26.585 ","20.615 ","5.997 ","32.327 ","health"
"      Panama","0.027 ","12.497 ","5.644 ","0.475 ","0.228 ","2.377 ","0.286 ","2.259 ","1.077 ","1.799 ","1.185 ","0.993 ","0.979 ","1.006 ","1.052 ","0.768 ","0.464 ","0.476 ","6.017 ","0.997 ","1.277 ","1.467 ","health"
"      Saint Kitts and Nevis",,,,"0.068 ",,,,,,,"0.002 ","0.003 ",,,,,,"0.110 ",,,,,"health"
"      Saint Lucia",,"1.160 ","0.596 ","0.382 ",,,,,"0.121 ","0.070 ","0.097 ","0.137 ","0.149 ","0.176 ","0.179 ","0.289 ","0.183 ","0.130 ","0.143 ","0.047 ","0.180 ","0.051 ","health"
"      Saint Vincent and the Grenadines",,,"0.029 ","0.040 ",,,,,,"0.006 ","0.002 ","0.020 ","0.093 ","0.088 ","0.082 ","0.062 ",,,"0.080 ","0.140 ","0.105 ","0.175 ","health"
"      Trinidad and Tobago",,"0.144 ",,"0.004 ","0.012 ","0.015 ","0.062 ","0.062 ","0.105 ","0.155 ","0.100 ","0.570 ",,,"0.001 ","0.053 ",,,,,,,"health"
"      Turks and Caicos Islands","0.028 ",,,,"0.415 ",,,,,"0.557 ",,,,,,,,,,,,,"health"
"      West Indies, regional",,,,"0.285 ",,"0.573 ",,"3.275 ",,,"1.479 ",,"0.572 ","0.111 ","0.259 ","0.125 ","1.277 ","0.018 ","1.348 ","1.208 ",,"8.398 ","health"
"      North & Central America, regional","1.350 ","9.664 ","1.582 ","4.332 ","3.893 ","1.508 ","1.043 ","10.573 ","4.022 ","6.619 ","14.128 ","2.586 ","4.172 ","4.060 ","0.365 ","2.902 ","49.707 ","0.123 ","1.431 ","0.010 ","1.235 ","1.128 ","health"
"    South America, Total","233.935 ","92.616 ","134.293 ","125.468 ","134.091 ","81.552 ","92.822 ","156.196 ","152.193 ","101.164 ","141.637 ","127.209 ","115.749 ","137.405 ","111.729 ","101.491 ","120.417 ","52.273 ","410.407 ","84.361 ","60.385 ","69.921 ","health"
"      Argentina","136.924 ","0.117 ","0.843 ","1.268 ","0.934 ","1.122 ","0.512 ","40.307 ","6.935 ","2.941 ","2.239 ","3.041 ","37.924 ","42.004 ","2.409 ","2.125 ","1.490 ","0.999 ","0.860 ","0.970 ","0.727 ","1.548 ","health"
"      Bolivia","19.245 ","22.855 ","32.809 ","34.073 ","34.019 ","29.241 ","25.049 ","45.373 ","50.431 ","26.531 ","48.669 ","50.306 ","20.536 ","22.278 ","26.426 ","37.429 ","46.934 ","12.428 ","15.604 ","28.917 ","7.315 ","8.123 ","health"
"      Brazil","15.256 ","1.213 ","3.629 ","2.513 ","9.856 ","1.716 ","11.065 ","7.890 ","23.258 ","13.797 ","11.783 ","14.587 ","9.755 ","11.183 ","6.309 ","13.576 ","12.863 ","5.796 ","5.765 ","2.285 ","5.920 ","8.655 ","health"
"      Chile","1.788 ","0.275 ","27.517 ","0.206 ","1.254 ","0.564 ","0.936 ","1.339 ","3.867 ","3.524 ","3.761 ","2.165 ","1.877 ","1.409 ","1.435 ","1.908 ","1.003 ","1.343 ","1.123 ","1.021 ","1.220 ","0.755 ","health"
"      Colombia","0.620 ","39.017 ","14.395 ","1.270 ","2.140 ","9.349 ","1.190 ","1.597 ","0.985 ","2.525 ","1.833 ","2.511 ","7.998 ","4.721 ","5.593 ","2.957 ","2.721 ","2.349 ","336.134 ","5.049 ","1.828 ","12.731 ","health"
"      Ecuador","1.633 ","2.533 ","17.610 ","5.319 ","6.762 ","4.577 ","7.546 ","4.049 ","9.589 ","7.499 ","5.664 ","7.973 ","8.674 ","9.108 ","4.163 ","6.250 ","21.273 ","4.296 ","3.182 ","28.143 ","17.544 ","4.261 ","health"
"      Guyana",,,"0.620 ",,,,"4.927 ","5.986 ","11.069 ","0.068 ","0.047 ","0.088 ",,"0.311 ","0.020 ","1.213 ","0.769 ","1.318 ","1.023 ","0.806 ","1.108 ","1.424 ","health"
"      Paraguay","0.021 ","0.158 ","1.141 ","23.313 ","4.428 ","0.051 ","0.567 ","0.080 ","2.102 ","1.631 ","2.837 ","14.518 ","7.587 ","4.419 ","10.149 ","3.722 ","3.797 ","6.357 ","10.717 ","3.437 ","3.606 ","17.619 ","health"
"      Peru","34.513 ","18.529 ","22.724 ","45.648 ","61.287 ","24.997 ","25.069 ","34.264 ","15.909 ","20.544 ","37.177 ","27.593 ","17.650 ","24.876 ","19.920 ","25.475 ","18.846 ","12.207 ","32.121 ","11.057 ","18.931 ","13.638 ","health"
"      Suriname","19.390 ","6.912 ","10.461 ","8.628 ","11.740 ","6.274 ","12.518 ","0.301 ","17.842 ","14.397 ","0.063 ","2.239 ","0.063 ","6.048 ","27.056 ","0.860 ","1.658 ","0.536 ","0.187 ","0.070 ","0.086 ","0.219 ","health"
"      Uruguay","0.073 ","0.009 ","0.122 ","0.452 ","0.741 ","0.064 ","0.288 ","0.648 ","0.497 ","0.766 ","20.504 ","0.788 ","1.860 ","0.611 ","0.736 ","1.065 ","0.450 ","0.498 ","0.605 ","0.351 ","0.307 ","0.406 ","health"
"      Venezuela","0.139 ",,"1.618 ","0.635 ","0.093 ","0.898 ","0.201 ","0.132 ","0.658 ","0.323 ","0.599 ","0.344 ","1.416 ","1.025 ","1.952 ","1.745 ","0.530 ","0.330 ","0.363 ","0.249 ","0.372 ","0.241 ","health"
"      South America, regional","4.334 ","0.997 ","0.805 ","2.143 ","0.839 ","2.699 ","2.954 ","14.230 ","9.049 ","6.619 ","6.460 ","1.055 ","0.408 ","9.412 ","5.560 ","3.164 ","8.082 ","3.816 ","2.724 ","2.005 ","1.421 ","0.300 ","health"
"    America, regional","2.312 ","4.263 ","15.438 ","10.197 ","12.244 ","21.157 ","25.188 ","20.537 ","2.015 ","16.679 ","21.075 ","13.067 ","15.306 ","11.440 ","54.568 ","46.235 ","36.801 ","7.753 ","8.002 ","20.052 ","33.325 ","98.497 ","health"
"  Asia, Total","371.558 ","671.537 ","485.043 ","419.839 ","732.266 ","711.382 ","531.089 ","909.757 ","999.601 ","1,492.286 ","1,453.265 ","2,004.887 ","1,132.040 ","1,325.127 ","1,163.146 ","764.338 ","1,099.246 ","1,220.308 ","1,461.245 ","1,360.904 ","1,557.478 ","1,243.429 ","health"
"    Far East Asia, Total","169.619 ","254.299 ","166.193 ","176.368 ","317.590 ","248.277 ","213.227 ","344.005 ","351.095 ","473.241 ","320.792 ","425.695 ","411.647 ","560.996 ","397.315 ","316.722 ","399.324 ","551.057 ","626.448 ","518.290 ","748.563 ","338.940 ","health"
"      Brunei Darussalam",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Cambodia","19.745 ","28.021 ","25.227 ","13.185 ","13.683 ","19.663 ","26.034 ","25.102 ","53.028 ","28.905 ","44.449 ","34.620 ","33.998 ","96.170 ","99.823 ","27.453 ","39.845 ","54.063 ","78.529 ","68.388 ","61.563 ","61.646 ","health"
"      China (People's Republic of)","28.248 ","12.769 ","59.283 ","13.415 ","77.246 ","59.157 ","51.015 ","166.799 ","94.766 ","290.286 ","48.015 ","57.207 ","69.752 ","101.639 ","75.321 ","61.164 ","108.629 ","204.105 ","255.147 ","227.250 ","150.405 ","69.015 ","health"
"      Democratic People's Republic of Korea",,,,"0.952 ","1.301 ",,"1.128 ","2.343 ","2.424 ","2.803 ","2.965 ","0.237 ","1.462 ","0.899 ","3.238 ","0.888 ","0.029 ","0.879 ","1.107 ","2.487 ","0.037 ","0.251 ","health"
"      Hong Kong, China","0.006 ",,,,,,,,,,,,,,,,,,,,,,"health"
"      Indonesia","55.161 ","83.429 ","20.774 ","45.301 ","101.637 ","80.239 ","24.841 ","52.955 ","68.633 ","27.655 ","112.250 ","128.967 ","73.886 ","186.728 ","54.082 ","50.841 ","35.520 ","111.741 ","82.095 ","32.286 ","61.511 ","33.312 ","health"
"      Korea",,,,"0.010 ","0.058 ",,,,,,,,,,,,,,,,,,"health"
"      Lao People's Democratic Republic","2.399 ","4.346 ","1.699 ","6.162 ","18.652 ","11.114 ","20.092 ","11.425 ","19.440 ","18.354 ","13.439 ","19.196 ","29.106 ","11.231 ","15.958 ","14.606 ","17.744 ","18.404 ","33.898 ","39.380 ","16.741 ","76.841 ","health"
"      Macau, China",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Malaysia",,,,"0.024 ",,"0.012 ","0.122 ","2.563 ","2.354 ","1.322 ","1.346 ","0.824 ","0.772 ","0.652 ","0.447 ","0.181 ","0.331 ","0.411 ","0.351 ","0.659 ","4.150 ","1.512 ","health"
"      Mongolia","2.417 ","4.918 ","0.093 ","2.648 ","7.899 ","11.064 ","1.655 ","2.166 ","1.158 ","0.691 ","0.817 ","2.086 ","7.564 ","23.040 ","9.097 ","25.320 ","66.482 ","6.784 ","14.023 ","6.492 ","90.231 ","5.635 ","health"
"      Philippines","42.882 ","31.680 ","17.087 ","36.195 ","34.589 ","34.591 ","21.436 ","24.640 ","26.589 ","12.845 ","17.828 ","7.389 ","27.064 ","33.476 ","14.984 ","49.388 ","23.326 ","24.042 ","23.617 ","78.734 ","26.824 ","15.159 ","health"
"      Singapore",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Chinese Taipei","0.025 ",,,,,,,,,,,,,,,,,,,,,,"health"
"      Thailand","1.128 ","80.657 ","0.485 ","0.432 ","39.635 ","0.172 ","2.623 ","3.867 ","14.694 ","19.127 ","16.834 ","37.793 ","10.345 ","10.572 ","13.364 ","3.853 ","18.080 ","5.778 ","20.620 ","13.425 ","13.244 ","18.199 ","health"
"      Timor-Leste",,,,,"2.825 ","2.176 ","14.611 ","5.147 ","0.571 ","2.061 ","6.234 ","15.770 ","14.822 ","5.181 ","1.991 ","27.087 ","9.408 ","3.767 ","5.513 ","2.665 ","6.587 ","8.969 ","health"
"      Viet Nam","11.537 ","8.478 ","39.986 ","57.820 ","19.938 ","27.639 ","38.859 ","46.524 ","67.336 ","68.458 ","47.329 ","98.083 ","129.546 ","82.145 ","102.041 ","52.001 ","66.669 ","107.207 ","96.690 ","39.823 ","313.193 ","42.836 ","health"
"      Far East Asia, regional","6.073 ",,"1.560 ","0.223 ","0.127 ","2.451 ","10.811 ","0.472 ","0.103 ","0.733 ","9.286 ","23.522 ","13.330 ","9.262 ","6.969 ","3.940 ","13.261 ","13.876 ","14.859 ","6.702 ","4.078 ","5.565 ","health"
"    South & Central Asia, Total","144.835 ","351.225 ","278.314 ","184.976 ","339.583 ","370.702 ","262.482 ","495.582 ","526.923 ","452.412 ","780.216 ","1,155.961 ","532.823 ","523.162 ","521.519 ","357.358 ","593.185 ","491.324 ","708.057 ","649.430 ","607.105 ","718.360 ","health"
"      Afghanistan","1.543 ","4.547 ","8.193 ","2.989 ","2.433 ","4.207 ","14.858 ","20.110 ","53.066 ","106.806 ","132.622 ","230.482 ","84.748 ","154.836 ","78.186 ","100.786 ","164.216 ","90.254 ","105.002 ","152.826 ","134.288 ","74.773 ","health"
"      Armenia","0.591 ","2.795 ","1.601 ","4.025 ","3.096 ","8.321 ","4.266 ","2.803 ","6.783 ","6.185 ","12.780 ","11.134 ","7.001 ","6.657 ","1.819 ","5.316 ","3.931 ","0.839 ","0.635 ","2.368 ","2.578 ","0.126 ","health"
"      Azerbaijan",,"0.421 ",,"0.712 ","9.864 ","7.887 ","0.118 ","4.441 ","4.252 ","0.611 ","3.623 ","1.548 ","3.576 ","5.758 ","2.083 ","1.398 ","2.828 ","0.632 ","0.957 ","0.774 ","0.298 ","0.164 ","health"
"      Bangladesh","25.707 ","22.078 ","61.814 ","19.004 ","155.730 ","35.022 ","46.892 ","25.670 ","43.017 ","24.289 ","87.418 ","257.826 ","22.055 ","92.341 ","70.143 ","26.209 ","122.637 ","115.377 ","99.778 ","173.664 ","246.992 ","48.809 ","health"
"      Bhutan","0.405 ","0.217 ","25.533 ","0.088 ","0.927 ","3.929 ","0.772 ","0.595 ","14.945 ","0.792 ","0.451 ","0.301 ","0.359 ","0.355 ","0.501 ","0.355 ","2.148 ","0.486 ","0.369 ","2.479 ","1.851 ","0.318 ","health"
"      Georgia","0.473 ","1.802 ","2.052 ","4.362 ","11.825 ","4.936 ","12.210 ","6.028 ","14.555 ","2.636 ","13.606 ","11.860 ","4.038 ","4.156 ","3.094 ","8.501 ","4.281 ","1.671 ","2.914 ","4.670 ","2.449 ","4.432 ","health"
"      India","61.028 ","263.005 ","99.741 ","91.190 ","78.959 ","220.586 ","51.453 ","307.461 ","108.071 ","154.419 ","341.398 ","241.391 ","268.502 ","95.368 ","126.493 ","81.959 ","51.270 ","38.055 ","109.727 ","56.361 ","49.171 ","300.698 ","health"
"      Kazakhstan","4.674 ","3.659 ","4.352 ","19.295 ","13.967 ","3.039 ","8.485 ","12.728 ","10.494 ","6.408 ","7.863 ","3.608 ","2.436 ","7.353 ","4.755 ","3.588 ","7.320 ","2.316 ","6.623 ","6.797 ","3.108 ","5.274 ","health"
"      Kyrgyzstan","4.525 ","3.365 ","3.866 ","13.367 ","9.538 ","2.492 ","8.150 ","9.818 ","7.483 ","13.700 ","17.295 ","57.886 ","15.094 ","12.215 ","6.409 ","6.940 ","23.007 ","12.589 ","46.931 ","32.500 ","4.763 ","7.759 ","health"
"      Maldives",,,"1.936 ",,"0.263 ","0.144 ","0.056 ",,"0.215 ","0.158 ","0.151 ","0.079 ","0.044 ","0.204 ","0.032 ","0.132 ","0.078 ","0.062 ","0.057 ","0.002 ","0.075 ","0.023 ","health"
"      Myanmar","0.186 ",,"0.662 ","2.816 ","1.702 ","4.727 ","3.853 ","15.015 ","9.578 ","6.735 ","10.433 ","26.589 ","24.417 ","11.892 ","50.800 ","12.252 ","17.287 ","38.498 ","60.181 ","85.016 ","40.769 ","63.800 ","health"
"      Nepal","6.921 ","9.880 ","6.682 ","3.572 ","20.211 ","12.398 ","36.017 ","25.241 ","23.424 ","46.507 ","33.935 ","10.462 ","10.842 ","8.514 ","30.336 ","20.474 ","47.944 ","33.071 ","31.724 ","42.421 ","39.130 ","31.000 ","health"
"      Pakistan","10.164 ","16.372 ","28.902 ","7.265 ","7.853 ","19.364 ","32.147 ","21.029 ","166.681 ","46.491 ","80.563 ","246.697 ","55.641 ","55.608 ","88.643 ","29.539 ","97.138 ","89.664 ","72.841 ","37.524 ","32.221 ","126.870 ","health"
"      Sri Lanka","1.232 ","19.158 ","23.353 ","2.097 ","5.697 ","25.660 ","18.098 ","2.003 ","30.815 ","10.157 ","7.247 ","11.720 ","5.055 ","24.841 ","28.261 ","25.180 ","5.348 ","41.288 ","5.447 ","7.788 ","3.270 ","11.217 ","health"
"      Tajikistan","1.706 ","1.440 ","2.374 ","1.247 ","0.842 ","1.366 ","1.265 ","10.646 ","10.034 ","9.440 ","11.054 ","25.379 ","6.270 ","20.943 ","6.428 ","19.768 ","22.056 ","17.087 ","40.229 ","28.220 ","10.420 ","29.825 ","health"
"      Turkmenistan","2.708 ","1.017 ","5.434 ","1.513 ","1.324 ","0.804 ","0.999 ","1.435 ","0.933 ","1.700 ","1.781 ","2.107 ","1.515 ","2.360 ","0.171 ","3.816 ","1.327 ","1.230 ","0.891 ","0.042 ","0.011 ","0.017 ","health"
"      Uzbekistan","9.494 ","1.472 ","1.764 ","11.434 ","15.149 ","13.789 ","22.759 ","24.845 ","12.892 ","9.257 ","12.009 ","10.690 ","16.452 ","8.170 ","18.285 ","7.792 ","15.990 ","7.088 ","118.611 ","13.336 ","28.730 ","9.695 ","health"
"      Central Asia, regional",,,,,,,,,,,"0.017 ","2.571 ","1.144 ","7.874 ","3.269 ","2.464 ","0.805 ","0.000 ","2.241 ","1.510 ","1.333 ","2.017 ","health"
"      South Asia, regional",,,,,,,,,,,"0.006 ","1.236 ",,"1.767 ","0.553 ","0.134 ","1.831 ","0.107 ","0.894 ","0.713 ","5.291 ","0.870 ","health"
"      South & Central Asia, regional","13.479 ",,"0.054 ",,"0.202 ","2.032 ","0.083 ","5.715 ","9.688 ","6.120 ","5.963 ","2.395 ","3.635 ","1.950 ","1.258 ","0.753 ","1.744 ","1.011 ","2.003 ","0.419 ","0.356 ","0.671 ","health"
"    Middle East, Total","56.733 ","64.165 ","38.408 ","55.253 ","67.544 ","83.101 ","41.117 ","60.433 ","117.575 ","563.718 ","341.391 ","419.261 ","169.930 ","170.220 ","81.159 ","69.836 ","67.997 ","158.551 ","92.756 ","96.995 ","116.230 ","107.575 ","health"
"      Bahrain",,,,"0.028 ","0.027 ","0.024 ","0.077 ","0.051 ","0.022 ","0.016 ",,,,,,,,,,,,,"health"
"      Iran",,,,"0.230 ","0.333 ","0.391 ","0.292 ","0.170 ","0.210 ","0.373 ","0.048 ","0.134 ","0.728 ","0.328 ","0.025 ","0.345 ","0.396 ","0.562 ","0.494 ","0.580 ","0.452 ","0.619 ","health"
"      Iraq","5.458 ","3.572 ","0.110 ","0.430 ","3.194 ","0.995 ","4.614 ","0.334 ","73.817 ","482.284 ","277.436 ","263.211 ","115.142 ","104.318 ","25.741 ","27.010 ","27.404 ","114.400 ","5.457 ","3.204 ","5.703 ","46.337 ","health"
"      Israel","0.311 ",,,,,,,,,,,,,,,,,,,,,,"health"
"      Jordan","6.487 ","0.764 ","4.677 ","18.056 ","12.163 ","25.230 ","0.903 ","24.373 ","2.300 ","10.873 ","0.717 ","8.852 ","1.625 ","4.251 ","2.241 ","2.443 ","8.014 ","1.709 ","6.712 ","2.896 ","7.831 ","4.040 ","health"
"      Kuwait",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Lebanon","11.349 ","0.275 ","3.316 ","2.941 ","8.449 ","5.246 ","4.801 ","4.982 ","3.233 ","3.842 ","5.463 ","13.223 ","6.686 ","12.649 ","3.675 ","3.940 ","1.793 ","4.582 ","3.758 ","8.287 ","8.256 ","11.824 ","health"
"      Oman",,,,"0.016 ","0.011 ","0.015 ","0.008 ","0.007 ","0.040 ","0.046 ",,,,"0.007 ",,"0.008 ",,,,,,,"health"
"      Qatar",,,,,,,,,,,,,,,,,,,,,,,"health"
"      Saudi Arabia",,,,"0.219 ","0.251 ","0.052 ","0.085 ","0.136 ","0.236 ","0.162 ","0.144 ","0.269 ","0.166 ",,,,,,,,,,"health"
"      Syrian Arab Republic",,,"5.497 ","0.169 ","0.101 ","0.208 ","2.641 ","0.786 ","5.812 ","1.309 ","1.398 ","11.651 ","1.175 ","2.428 ","11.611 ","1.193 ","0.523 ","0.771 ","3.221 ","4.742 ","3.853 ","7.248 ","health"
"      United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,"health"
"      West Bank and Gaza Strip","22.563 ","28.485 ","11.659 ","30.700 ","32.761 ","35.302 ","24.701 ","24.165 ","30.329 ","59.685 ","45.811 ","116.996 ","34.307 ","43.015 ","33.870 ","32.694 ","28.601 ","25.700 ","36.257 ","31.849 ","37.694 ","27.756 ","health"
"      Yemen","10.347 ","20.871 ","11.909 ","2.465 ","8.601 ","14.563 ","2.995 ","5.419 ","1.529 ","4.735 ","9.531 ","3.536 ","9.479 ","1.122 ","2.755 ","1.705 ","0.753 ","5.735 ","34.685 ","43.909 ","49.559 ","6.000 ","health"
"      Middle East, regional","0.218 ","10.198 ","1.240 ",,"1.654 ","1.076 ",,"0.009 ","0.046 ","0.392 ","0.842 ","1.388 ","0.624 ","2.102 ","1.240 ","0.497 ","0.513 ","5.092 ","2.171 ","1.528 ","2.883 ","3.750 ","health"
"    Asia, regional","0.371 ","1.848 ","2.128 ","3.242 ","7.549 ","9.302 ","14.263 ","9.737 ","4.008 ","2.915 ","10.865 ","3.970 ","17.639 ","70.749 ","163.152 ","20.422 ","38.739 ","19.376 ","33.984 ","96.188 ","85.580 ","78.554 ","health"
"  Oceania, Total","3.045 ","88.411 ","32.540 ","68.070 ","61.521 ","192.007 ","95.832 ","121.205 ","81.580 ","110.802 ","140.546 ","121.756 ","87.076 ","141.993 ","139.710 ","138.895 ","133.614 ","133.779 ","109.373 ","140.312 ","126.535 ","81.900 ","health"
"    Cook Islands","0.053 ",,,"4.527 ","4.104 ","0.018 ","0.057 ","0.143 ","1.185 ","0.598 ","0.210 ","0.529 ","0.137 ","0.476 ","0.755 ","0.199 ","1.011 ","0.120 ","0.133 ","0.649 ","0.273 ","0.404 ","health"
"    Fiji","0.405 ","0.001 ","0.790 ","34.453 ","1.339 ","2.445 ","2.691 ","10.872 ","29.668 ","1.563 ","7.195 ","2.671 ","6.421 ","1.401 ","2.175 ","6.917 ","6.787 ","10.143 ","9.275 ","11.886 ","8.701 ","8.809 ","health"
"    French Polynesia",,,,,,,,,,,,,,,,,,,,,,,"health"
"    Kiribati","0.147 ",,,,,"0.108 ","0.057 ","0.166 ","0.103 ","0.103 ","3.565 ","5.795 ","1.633 ","10.542 ","0.051 ","0.452 ","3.083 ","3.741 ","2.357 ","1.514 ","2.313 ","4.265 ","health"
"    Marshall Islands",,,,,"4.175 ","0.003 ","0.013 ",,"7.865 ","12.062 ","8.926 ","7.981 ","8.654 ","9.305 ","10.297 ","0.161 ","0.231 ","7.456 ","0.253 ","9.832 ","8.933 ","4.060 ","health"
"    Micronesia",,,,,"9.741 ","0.003 ","0.013 ",,"4.891 ","19.437 ","21.246 ","19.468 ","20.076 ","20.186 ","26.260 ","0.347 ","0.308 ","23.803 ","0.475 ","45.642 ","22.609 ","0.807 ","health"
"    Nauru",,,,,,,,,,,"0.611 ","3.628 ","2.864 ","2.782 ","3.242 ","2.518 ","3.155 ","2.416 ","0.969 ","3.111 ","7.792 ","2.934 ","health"
"    New Caledonia",,,,,,,,,,,,,,,,,,,,,,,"health"
"    Niue",,,,,,,,"0.245 ","0.041 ","0.494 ","5.922 ","0.581 ","0.032 ","0.731 ","0.569 ","0.271 ","0.850 ",,"0.262 ","0.001 ","0.119 ","1.013 ","health"
"    Northern Mariana Islands",,,,,,,,,,,,,,,,,,,,,,,"health"
"    Palau",,,,,"2.783 ",,,,"1.317 ","1.251 ","1.216 ","1.020 ","0.104 ","0.854 ","0.898 ","0.516 ","0.546 ","0.182 ","0.666 ","0.314 ","0.362 ","0.364 ","health"
"    Papua New Guinea","0.011 ","86.592 ","24.325 ","16.846 ","32.355 ","164.801 ","33.270 ","69.402 ","6.832 ","29.803 ","47.366 ","36.442 ","18.773 ","9.730 ","43.132 ","29.549 ","69.542 ","30.402 ","33.948 ","34.350 ","38.066 ","5.611 ","health"
"    Samoa","0.469 ","0.299 ","0.215 ","0.574 ","0.610 ","9.316 ","0.308 ","1.814 ","1.015 ","3.167 ","6.679 ","6.407 ","1.437 ","28.487 ","3.023 ","1.325 ","0.429 ","5.783 ","6.961 ","2.427 ","4.066 ","3.736 ","health"
"    Solomon Islands","0.157 ","1.266 ","0.467 ","0.391 ","1.147 ","12.337 ","12.352 ","13.721 ","11.842 ","8.653 ","1.386 ","17.778 ","6.757 ","10.752 ","24.428 ","3.397 ","15.900 ","10.997 ","24.192 ","6.844 ","18.606 ","15.265 ","health"
"    Tokelau",,,,,,,,"0.428 ","0.227 ",,,,,,,,,,"0.001 ","0.003 ","0.107 ","0.243 ","health"
"    Tonga","0.541 ",,"3.689 ",,"0.057 ","0.194 ","3.315 ","0.333 ","2.509 ","11.398 ","0.154 ","0.832 ","0.457 ","1.215 ","1.639 ","24.182 ","3.093 ","1.911 ","2.252 ","1.702 ","3.376 ","5.976 ","health"
"    Tuvalu","0.454 ",,,,,"0.018 ","5.972 ",,"0.141 ","0.019 ","0.278 ","0.033 ","0.410 ","0.073 ","0.007 ","0.185 ","0.297 ","0.146 ","0.281 ","0.478 ","0.569 ","0.996 ","health"
"    Vanuatu","0.250 ",,"1.598 ","10.992 ","0.382 ","2.282 ","1.772 ","2.602 ","4.274 ","4.445 ","10.560 ","4.294 ","7.631 ","4.031 ","2.801 ","15.325 ","6.223 ","19.887 ","8.752 ","6.124 ","5.995 ","6.459 ","health"
"    Wallis and Futuna",,,,,,,"21.373 ","18.574 ","6.596 ","3.067 ","1.891 ",,"2.991 ","0.696 ","0.148 ","0.212 ","0.178 ","0.245 ","0.245 ","0.410 ","0.107 ","6.616 ","health"
"    Oceania, regional","0.559 ","0.252 ","1.455 ","0.288 ","4.828 ","0.481 ","14.638 ","2.907 ","3.076 ","14.742 ","23.340 ","14.296 ","8.699 ","40.734 ","20.283 ","53.337 ","21.982 ","16.547 ","18.351 ","15.025 ","4.541 ","14.343 ","health"
"Developing Countries, Total","1,204.675 ","717.797 ","1,182.880 ","1,244.090 ","1,328.916 ","1,879.985 ","1,692.657 ","2,309.228 ","2,719.227 ","2,956.415 ","3,831.279 ","4,882.303 ","6,826.380 ","7,979.195 ","7,672.238 ","6,678.243 ","7,889.486 ","7,062.759 ","7,394.008 ","6,893.745 ","7,889.932 ","8,041.743 ","reproductive health"
"  Europe, Total","14.939 ","3.069 ","0.457 ","3.412 ","5.837 ","9.246 ","12.143 ","9.031 ","10.000 ","29.922 ","30.122 ","21.683 ","24.427 ","27.646 ","13.868 ","20.661 ","20.697 ","25.065 ","17.203 ","24.206 ","27.159 ","25.325 ","reproductive health"
"    Albania","3.928 ","3.069 ",,"1.706 ","1.407 ","4.098 ","4.620 ","0.294 ","2.452 ","3.357 ","0.754 ","1.996 ","4.528 ","4.277 ","2.312 ","1.705 ","1.239 ","0.016 ",,"0.001 ",,,"reproductive health"
"    Belarus",,,,,,,,,,,"0.010 ","1.398 ",,"0.143 ","0.013 ","0.315 ",,,,"0.087 ","0.062 ","0.389 ","reproductive health"
"    Bosnia and Herzegovina",,,,"0.032 ",,"0.851 ",,"1.449 ","0.964 ",,"1.891 ","0.215 ","1.051 ","1.248 ","0.025 ",,"0.000 ",,,"0.044 ","0.012 ",,"reproductive health"
"    Croatia","11.011 ",,,"0.024 ",,,,"0.159 ","0.614 ",,,,,,,,,,,,,,"reproductive health"
"    Cyprus",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    Former Yugoslav Republic of Macedonia",,,,,"0.678 ",,,"1.627 ","0.318 ","0.367 ","1.271 ","0.056 ","0.283 ","0.281 ",,"0.002 ",,"0.031 ",,"0.000 ","0.044 ","0.011 ","reproductive health"
"    Gibraltar",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    Kosovo",,,,,,,,,,,,,,,"0.334 ","3.029 ","0.399 ",,"0.399 ","0.000 ","0.034 ","0.024 ","reproductive health"
"    Malta",,,,,,"0.054 ",,,,,,,,,,,,,,,,,"reproductive health"
